utterance_id,Source,Target
0-SNG02022,u-26,s-0
1-SNG02022,s-0,u-8
2-SNG02022,u-8,s-24
0-PMUL4452,u-7,s-0
1-PMUL4452,s-0,u-7
2-PMUL4452,u-7,s-0
3-PMUL4452,s-0,u-7
4-PMUL4452,u-7,s-14
5-PMUL4452,s-14,u-7
6-PMUL4452,u-7,s-0
7-PMUL4452,s-0,u-7
8-PMUL4452,u-7,s-0
9-PMUL4452,s-0,u-7
10-PMUL4452,u-7,s-13
11-PMUL4452,s-13,u-14
12-PMUL4452,u-14,s-0
13-PMUL4452,s-0,u-0
14-PMUL4452,u-0,s-0
15-PMUL4452,s-0,u-7
16-PMUL4452,u-7,s-3
17-PMUL4452,s-3,u-7
18-PMUL4452,u-7,s-0
19-PMUL4452,s-0,u-7
20-PMUL4452,u-7,s-0
21-PMUL4452,s-0,u-8
22-PMUL4452,u-8,s-24
0-SNG01863,u-7,s-2
1-SNG01863,s-2,u-7
2-SNG01863,u-7,s-0
3-SNG01863,s-0,u-7
4-SNG01863,u-7,s-10
5-SNG01863,s-10,u-7
6-SNG01863,u-7,s-0
7-SNG01863,s-0,u-8
8-SNG01863,u-8,s-17
0-SNG0028,u-7,s-0
1-SNG0028,s-0,u-7
2-SNG0028,u-7,s-0
3-SNG0028,s-0,u-8
4-SNG0028,u-8,s-27
0-SNG01971,u-7,s-0
1-SNG01971,s-0,u-0
2-SNG01971,u-0,s-0
3-SNG01971,s-0,u-0
4-SNG01971,u-0,s-26
0-PMUL0087,u-7,s-0
1-PMUL0087,s-0,u-0
2-PMUL0087,u-0,s-0
3-PMUL0087,s-0,u-0
4-PMUL0087,u-0,s-0
5-PMUL0087,s-0,u-0
6-PMUL0087,u-0,s-0
7-PMUL0087,s-0,u-7
8-PMUL0087,u-7,s-0
9-PMUL0087,s-0,u-0
10-PMUL0087,u-0,s-0
11-PMUL0087,s-0,u-8
12-PMUL0087,u-8,s-17
0-SNG0191,u-25,s-0
1-SNG0191,s-0,u-7
2-SNG0191,u-7,s-0
0-PMUL4350,u-7,s-2
1-PMUL4350,s-2,u-7
2-PMUL4350,u-7,s-0
3-PMUL4350,s-0,u-7
4-PMUL4350,u-7,s-6
5-PMUL4350,s-6,u-7
6-PMUL4350,u-7,s-0
7-PMUL4350,s-0,u-7
8-PMUL4350,u-7,s-0
0-SNG01336,u-7,s-0
1-SNG01336,s-0,u-7
2-SNG01336,u-7,s-0
3-SNG01336,s-0,u-8
4-SNG01336,u-8,s-0
5-SNG01336,s-0,u-7
6-SNG01336,u-7,s-14
7-SNG01336,s-14,u-8
8-SNG01336,u-8,s-0
9-SNG01336,s-0,u-8
10-SNG01336,u-8,s-15
0-PMUL0059,u-7,s-14
1-PMUL0059,s-14,u-0
2-PMUL0059,u-0,s-0
3-PMUL0059,s-0,u-7
4-PMUL0059,u-7,s-0
5-PMUL0059,s-0,u-0
6-PMUL0059,u-0,s-0
7-PMUL0059,s-0,u-7
8-PMUL0059,u-7,s-0
9-PMUL0059,s-0,u-7
10-PMUL0059,u-7,s-0
11-PMUL0059,s-0,u-8
12-PMUL0059,u-8,s-24
0-SNG01448,u-27,s-0
1-SNG01448,s-0,u-7
2-SNG01448,u-7,s-0
3-SNG01448,s-0,u-8
4-SNG01448,u-8,s-15
5-SNG01448,s-15,u-8
6-SNG01448,u-8,s-21
0-MUL2474,u-7,s-0
1-MUL2474,s-0,u-7
2-MUL2474,u-7,s-0
3-MUL2474,s-0,u-7
4-MUL2474,u-7,s-0
5-MUL2474,s-0,u-7
6-MUL2474,u-7,s-0
7-MUL2474,s-0,u-0
8-MUL2474,u-0,s-0
9-MUL2474,s-0,u-7
10-MUL2474,u-7,s-0
11-MUL2474,s-0,u-8
12-MUL2474,u-8,s-21
0-MUL0053,u-7,s-0
1-MUL0053,s-0,u-7
2-MUL0053,u-7,s-12
3-MUL0053,s-12,u-1
4-MUL0053,u-1,s-0
5-MUL0053,s-0,u-0
6-MUL0053,u-0,s-0
7-MUL0053,s-0,u-0
8-MUL0053,u-0,s-0
9-MUL0053,s-0,u-0
10-MUL0053,u-0,s-0
11-MUL0053,s-0,u-7
12-MUL0053,u-7,s-0
13-MUL0053,s-0,u-7
14-MUL0053,u-7,s-0
15-MUL0053,s-0,u-0
16-MUL0053,u-0,s-0
17-MUL0053,s-0,u-0
18-MUL0053,u-0,s-0
19-MUL0053,s-0,u-7
20-MUL0053,u-7,s-0
21-MUL0053,s-0,u-8
22-MUL0053,u-8,s-15
23-MUL0053,s-15,u-8
24-MUL0053,u-8,s-21
0-MUL2242,u-7,s-0
1-MUL2242,s-0,u-17
2-MUL2242,u-17,s-0
3-MUL2242,s-0,u-7
4-MUL2242,u-7,s-0
5-MUL2242,s-0,u-17
6-MUL2242,u-17,s-0
7-MUL2242,s-0,u-7
8-MUL2242,u-7,s-0
9-MUL2242,s-0,u-7
10-MUL2242,u-7,s-0
11-MUL2242,s-0,u-7
12-MUL2242,u-7,s-0
13-MUL2242,s-0,u-29
14-MUL2242,u-29,s-0
15-MUL2242,s-0,u-1
16-MUL2242,u-1,s-24
0-SNG01234,u-26,s-0
1-SNG01234,s-0,u-8
2-SNG01234,u-8,s-24
0-MUL1558,u-7,s-0
1-MUL1558,s-0,u-7
2-MUL1558,u-7,s-0
3-MUL1558,s-0,u-7
4-MUL1558,u-7,s-0
5-MUL1558,s-0,u-7
6-MUL1558,u-7,s-0
7-MUL1558,s-0,u-29
8-MUL1558,u-29,s-6
9-MUL1558,s-6,u-12
10-MUL1558,u-12,s-24
0-WOZ20346,u-7,s-0
1-WOZ20346,s-0,u-7
2-WOZ20346,u-7,s-0
0-SNG0214,u-25,s-0
1-SNG0214,s-0,u-8
2-SNG0214,u-8,s-24
0-PMUL4566,u-7,s-0
1-PMUL4566,s-0,u-7
2-PMUL4566,u-7,s-0
3-PMUL4566,s-0,u-7
4-PMUL4566,u-7,s-0
5-PMUL4566,s-0,u-7
6-PMUL4566,u-7,s-0
7-PMUL4566,s-0,u-3
8-PMUL4566,u-3,s-0
9-PMUL4566,s-0,u-8
10-PMUL4566,u-8,s-18
0-PMUL4935,u-16,s-0
1-PMUL4935,s-0,u-7
2-PMUL4935,u-7,s-0
3-PMUL4935,s-0,u-7
4-PMUL4935,u-7,s-0
5-PMUL4935,s-0,u-7
6-PMUL4935,u-7,s-0
7-PMUL4935,s-0,u-7
8-PMUL4935,u-7,s-0
9-PMUL4935,s-0,u-7
10-PMUL4935,u-7,s-0
11-PMUL4935,s-0,u-7
12-PMUL4935,u-7,s-0
13-PMUL4935,s-0,u-7
14-PMUL4935,u-7,s-0
15-PMUL4935,s-0,u-0
16-PMUL4935,u-0,s-0
17-PMUL4935,s-0,u-7
18-PMUL4935,u-7,s-2
19-PMUL4935,s-2,u-7
20-PMUL4935,u-7,s-0
21-PMUL4935,s-0,u-7
22-PMUL4935,u-7,s-0
23-PMUL4935,s-0,u-8
24-PMUL4935,u-8,s-24
0-SNG0278,u-7,s-2
1-SNG0278,s-2,u-7
2-SNG0278,u-7,s-0
3-SNG0278,s-0,u-4
4-SNG0278,u-4,s-0
5-SNG0278,s-0,u-0
6-SNG0278,u-0,s-0
7-SNG0278,s-0,u-8
8-SNG0278,u-8,s-24
0-SNG0435,u-7,s-0
1-SNG0435,s-0,u-18
2-SNG0435,u-18,s-0
3-SNG0435,s-0,u-3
4-SNG0435,u-3,s-0
5-SNG0435,s-0,u-8
6-SNG0435,u-8,s-24
0-SNG02320,u-7,s-0
1-SNG02320,s-0,u-7
2-SNG02320,u-7,s-0
3-SNG02320,s-0,u-18
4-SNG02320,u-18,s-0
5-SNG02320,s-0,u-0
6-SNG02320,u-0,s-0
7-SNG02320,s-0,u-8
8-SNG02320,u-8,s-22
9-SNG02320,s-22,u-8
10-SNG02320,u-8,s-17
0-PMUL1578,u-7,s-2
1-PMUL1578,s-2,u-7
2-PMUL1578,u-7,s-2
3-PMUL1578,s-2,u-7
4-PMUL1578,u-7,s-1
5-PMUL1578,s-1,u-3
6-PMUL1578,u-3,s-0
7-PMUL1578,s-0,u-7
8-PMUL1578,u-7,s-0
9-PMUL1578,s-0,u-0
10-PMUL1578,u-0,s-0
11-PMUL1578,s-0,u-8
12-PMUL1578,u-8,s-17
0-PMUL3140,u-7,s-0
1-PMUL3140,s-0,u-0
2-PMUL3140,u-0,s-0
3-PMUL3140,s-0,u-7
4-PMUL3140,u-7,s-0
5-PMUL3140,s-0,u-7
6-PMUL3140,u-7,s-0
7-PMUL3140,s-0,u-7
8-PMUL3140,u-7,s-0
9-PMUL3140,s-0,u-7
10-PMUL3140,u-7,s-0
11-PMUL3140,s-0,u-7
12-PMUL3140,u-7,s-0
13-PMUL3140,s-0,u-8
14-PMUL3140,u-8,s-24
0-PMUL4652,u-7,s-0
1-PMUL4652,s-0,u-7
2-PMUL4652,u-7,s-0
3-PMUL4652,s-0,u-7
4-PMUL4652,u-7,s-0
5-PMUL4652,s-0,u-7
6-PMUL4652,u-7,s-0
7-PMUL4652,s-0,u-0
8-PMUL4652,u-0,s-0
9-PMUL4652,s-0,u-7
10-PMUL4652,u-7,s-0
11-PMUL4652,s-0,u-7
12-PMUL4652,u-7,s-0
13-PMUL4652,s-0,u-5
14-PMUL4652,u-5,s-0
15-PMUL4652,s-0,u-7
16-PMUL4652,u-7,s-0
17-PMUL4652,s-0,u-7
18-PMUL4652,u-7,s-15
19-PMUL4652,s-15,u-8
20-PMUL4652,u-8,s-24
21-PMUL4652,s-24,u-13
22-PMUL4652,u-13,s-25
0-MUL2454,u-7,s-0
1-MUL2454,s-0,u-7
2-MUL2454,u-7,s-0
3-MUL2454,s-0,u-7
