utterance_id,Source,Target
0-SNG02022,u-74,s-57
1-SNG02022,s-57,u-79
2-SNG02022,u-79,s-71
0-PMUL4452,u-44,s-1
1-PMUL4452,s-1,u-18
2-PMUL4452,u-18,s-61
3-PMUL4452,s-61,u-59
4-PMUL4452,u-59,s-7
5-PMUL4452,s-7,u-23
6-PMUL4452,u-23,s-66
7-PMUL4452,s-66,u-66
8-PMUL4452,u-66,s-1
9-PMUL4452,s-1,u-14
10-PMUL4452,u-14,s-54
11-PMUL4452,s-54,u-66
12-PMUL4452,u-66,s-71
13-PMUL4452,s-71,u-58
14-PMUL4452,u-58,s-18
15-PMUL4452,s-18,u-53
16-PMUL4452,u-53,s-54
17-PMUL4452,s-54,u-9
18-PMUL4452,u-9,s-0
19-PMUL4452,s-0,u-71
20-PMUL4452,u-71,s-66
21-PMUL4452,s-66,u-78
22-PMUL4452,u-78,s-66
0-SNG01863,u-57,s-66
1-SNG01863,s-66,u-29
2-SNG01863,u-29,s-23
3-SNG01863,s-23,u-40
4-SNG01863,u-40,s-42
5-SNG01863,s-42,u-31
6-SNG01863,u-31,s-37
7-SNG01863,s-37,u-81
8-SNG01863,u-81,s-58
0-SNG0028,u-30,s-71
1-SNG0028,s-71,u-12
2-SNG0028,u-12,s-56
3-SNG0028,s-56,u-46
4-SNG0028,u-46,s-37
0-SNG01971,u-53,s-34
1-SNG01971,s-34,u-63
2-SNG01971,u-63,s-5
3-SNG01971,s-5,u-64
4-SNG01971,u-64,s-67
0-PMUL0087,u-34,s-12
1-PMUL0087,s-12,u-9
2-PMUL0087,u-9,s-13
3-PMUL0087,s-13,u-23
4-PMUL0087,u-23,s-42
5-PMUL0087,s-42,u-15
6-PMUL0087,u-15,s-5
7-PMUL0087,s-5,u-39
8-PMUL0087,u-39,s-57
9-PMUL0087,s-57,u-78
10-PMUL0087,u-78,s-55
11-PMUL0087,s-55,u-23
12-PMUL0087,u-23,s-60
0-SNG0191,u-57,s-39
1-SNG0191,s-39,u-28
2-SNG0191,u-28,s-42
0-PMUL4350,u-35,s-45
1-PMUL4350,s-45,u-30
2-PMUL4350,u-30,s-1
3-PMUL4350,s-1,u-10
4-PMUL4350,u-10,s-57
5-PMUL4350,s-57,u-10
6-PMUL4350,u-10,s-39
7-PMUL4350,s-39,u-12
8-PMUL4350,u-12,s-66
0-SNG01336,u-13,s-50
1-SNG01336,s-50,u-54
2-SNG01336,u-54,s-1
3-SNG01336,s-1,u-83
4-SNG01336,u-83,s-2
5-SNG01336,s-2,u-57
6-SNG01336,u-57,s-30
7-SNG01336,s-30,u-77
8-SNG01336,u-77,s-1
9-SNG01336,s-1,u-53
10-SNG01336,u-53,s-61
0-PMUL0059,u-78,s-17
1-PMUL0059,s-17,u-63
2-PMUL0059,u-63,s-0
3-PMUL0059,s-0,u-29
4-PMUL0059,u-29,s-61
5-PMUL0059,s-61,u-38
6-PMUL0059,u-38,s-7
7-PMUL0059,s-7,u-3
8-PMUL0059,u-3,s-9
9-PMUL0059,s-9,u-67
10-PMUL0059,u-67,s-8
11-PMUL0059,s-8,u-0
12-PMUL0059,u-0,s-66
0-SNG01448,u-33,s-1
1-SNG01448,s-1,u-24
2-SNG01448,u-24,s-31
3-SNG01448,s-31,u-70
4-SNG01448,u-70,s-57
5-SNG01448,s-57,u-70
6-SNG01448,u-70,s-66
0-MUL2474,u-33,s-15
1-MUL2474,s-15,u-40
2-MUL2474,u-40,s-53
3-MUL2474,s-53,u-13
4-MUL2474,u-13,s-11
5-MUL2474,s-11,u-26
6-MUL2474,u-26,s-57
7-MUL2474,s-57,u-30
8-MUL2474,u-30,s-26
9-MUL2474,s-26,u-26
10-MUL2474,u-26,s-7
11-MUL2474,s-7,u-66
12-MUL2474,u-66,s-57
0-MUL0053,u-35,s-4
1-MUL0053,s-4,u-23
2-MUL0053,u-23,s-54
3-MUL0053,s-54,u-80
4-MUL0053,u-80,s-57
5-MUL0053,s-57,u-68
6-MUL0053,u-68,s-55
7-MUL0053,s-55,u-30
8-MUL0053,u-30,s-66
9-MUL0053,s-66,u-10
10-MUL0053,u-10,s-49
11-MUL0053,s-49,u-57
12-MUL0053,u-57,s-53
13-MUL0053,s-53,u-35
14-MUL0053,u-35,s-1
15-MUL0053,s-1,u-57
16-MUL0053,u-57,s-4
17-MUL0053,s-4,u-35
18-MUL0053,u-35,s-57
19-MUL0053,s-57,u-74
20-MUL0053,u-74,s-47
21-MUL0053,s-47,u-69
22-MUL0053,u-69,s-59
23-MUL0053,s-59,u-78
24-MUL0053,u-78,s-66
0-MUL2242,u-26,s-26
1-MUL2242,s-26,u-70
2-MUL2242,u-70,s-61
3-MUL2242,s-61,u-48
4-MUL2242,u-48,s-61
5-MUL2242,s-61,u-70
6-MUL2242,u-70,s-57
7-MUL2242,s-57,u-31
