,Source,Target,Weight
0,System No Cluster,User No Cluster,588
1,System No Cluster,u-0,1
2,System No Cluster,u-1,2
3,System No Cluster,u-13,1
4,System No Cluster,u-14,1
5,System No Cluster,u-18,1
6,System No Cluster,u-19,1
7,System No Cluster,u-2,1
8,System No Cluster,u-20,3
9,System No Cluster,u-23,2
10,System No Cluster,u-25,1
11,System No Cluster,u-28,1
12,System No Cluster,u-30,1
13,System No Cluster,u-33,1
14,System No Cluster,u-35,2
15,System No Cluster,u-4,1
16,System No Cluster,u-42,1
17,System No Cluster,u-44,1
18,System No Cluster,u-46,3
19,System No Cluster,u-57,7
20,System No Cluster,u-58,1
21,System No Cluster,u-59,1
22,System No Cluster,u-62,1
23,System No Cluster,u-65,1
24,System No Cluster,u-66,3
25,System No Cluster,u-67,1
26,System No Cluster,u-7,1
27,System No Cluster,u-70,10
28,System No Cluster,u-71,1
29,System No Cluster,u-74,3
30,System No Cluster,u-77,4
31,System No Cluster,u-78,4
32,System No Cluster,u-79,4
33,System No Cluster,u-80,6
34,System No Cluster,u-81,2
35,System No Cluster,u-82,3
36,System No Cluster,u-83,1
37,User No Cluster,System No Cluster,670
38,User No Cluster,s-1,1
39,User No Cluster,s-10,1
40,User No Cluster,s-13,3
41,User No Cluster,s-14,1
42,User No Cluster,s-17,1
43,User No Cluster,s-22,2
44,User No Cluster,s-26,3
45,User No Cluster,s-32,2
46,User No Cluster,s-34,2
47,User No Cluster,s-4,1
48,User No Cluster,s-42,1
49,User No Cluster,s-45,1
50,User No Cluster,s-46,3
51,User No Cluster,s-48,1
52,User No Cluster,s-49,1
53,User No Cluster,s-52,1
54,User No Cluster,s-53,1
55,User No Cluster,s-54,5
56,User No Cluster,s-55,2
57,User No Cluster,s-57,9
58,User No Cluster,s-58,3
59,User No Cluster,s-61,5
60,User No Cluster,s-62,4
61,User No Cluster,s-66,16
62,User No Cluster,s-67,1
63,User No Cluster,s-68,5
64,User No Cluster,s-69,2
65,User No Cluster,s-70,1
66,User No Cluster,s-71,8
67,s-0,u-0,14
68,s-0,u-1,9
69,s-0,u-10,12
70,s-0,u-11,2
71,s-0,u-12,6
72,s-0,u-13,7
73,s-0,u-14,22
74,s-0,u-15,13
75,s-0,u-16,3
76,s-0,u-17,3
77,s-0,u-18,19
78,s-0,u-19,3
79,s-0,u-2,13
80,s-0,u-20,17
81,s-0,u-21,3
82,s-0,u-22,18
83,s-0,u-23,18
84,s-0,u-25,5
85,s-0,u-26,6
86,s-0,u-27,1
87,s-0,u-28,7
88,s-0,u-29,7
89,s-0,u-3,1
90,s-0,u-30,20
91,s-0,u-31,7
92,s-0,u-32,7
93,s-0,u-33,2
94,s-0,u-34,5
95,s-0,u-35,16
96,s-0,u-36,8
97,s-0,u-37,1
98,s-0,u-38,5
99,s-0,u-39,4
100,s-0,u-4,2
101,s-0,u-40,1
102,s-0,u-41,2
103,s-0,u-42,1
104,s-0,u-43,2
105,s-0,u-44,7
106,s-0,u-45,5
107,s-0,u-46,11
108,s-0,u-47,5
109,s-0,u-48,3
110,s-0,u-49,4
111,s-0,u-5,10
112,s-0,u-52,1
113,s-0,u-53,12
114,s-0,u-54,5
115,s-0,u-55,1
116,s-0,u-56,9
117,s-0,u-57,55
118,s-0,u-58,8
119,s-0,u-59,12
120,s-0,u-6,1
121,s-0,u-61,5
122,s-0,u-62,7
123,s-0,u-63,17
124,s-0,u-64,6
125,s-0,u-65,10
126,s-0,u-66,13
127,s-0,u-67,6
128,s-0,u-68,11
129,s-0,u-69,7
130,s-0,u-7,8
131,s-0,u-70,23
132,s-0,u-71,2
133,s-0,u-72,7
134,s-0,u-73,2
135,s-0,u-74,7
136,s-0,u-75,9
137,s-0,u-77,12
138,s-0,u-78,6
139,s-0,u-79,9
140,s-0,u-8,1
141,s-0,u-80,8
142,s-0,u-81,4
143,s-0,u-82,3
144,s-0,u-83,2
145,s-0,u-84,2
146,s-0,u-9,11
147,s-1,User No Cluster,1
148,s-1,u-0,50
149,s-1,u-1,17
150,s-1,u-10,21
151,s-1,u-11,9
152,s-1,u-12,20
153,s-1,u-13,34
154,s-1,u-14,64
155,s-1,u-15,35
156,s-1,u-16,7
157,s-1,u-17,8
158,s-1,u-18,58
159,s-1,u-19,3
160,s-1,u-2,67
161,s-1,u-20,56
162,s-1,u-21,6
163,s-1,u-22,29
164,s-1,u-23,36
165,s-1,u-24,10
166,s-1,u-25,4
167,s-1,u-26,22
168,s-1,u-27,1
169,s-1,u-28,41
170,s-1,u-29,18
171,s-1,u-3,12
172,s-1,u-30,49
173,s-1,u-31,31
174,s-1,u-32,28
175,s-1,u-33,8
176,s-1,u-34,11
177,s-1,u-35,53
178,s-1,u-36,11
179,s-1,u-37,11
180,s-1,u-38,11
181,s-1,u-39,5
182,s-1,u-4,13
183,s-1,u-40,22
184,s-1,u-41,6
185,s-1,u-42,10
186,s-1,u-43,5
187,s-1,u-44,13
188,s-1,u-45,9
189,s-1,u-46,16
190,s-1,u-47,9
