,utterenaces
u-0,"['thank you that s all i needed help with today goodbye', 'just one please', 'yes i need the reference number for the booking please', 'book the one in the centre a table for 2 at 1345 on thursday', 'i d like to leave the hotel by 315 please', 'well what is on the west side then', 'how about asian oriental food', 'ok are there any 4 star hotels with free wifi', 'great can you book that for 7 people for 3 nights starting friday', 'perfect thanks so much for your help today that s everything i needed']"
u-1,"['yes i also need to find a train from cambridge to stevenage on friday i need to arrive by 0815', 'are there no international places to dine in the area anything other than british food in the area', 'nope that s it thanks', 'can you provide information about clare hall', 'i am going to cambridge and would like to leave after 1145', 'please book for 4 people at 1700 on sunday', 'i am also looking for a place to go in the centre i would like to see architecture', 'pets on the gray please make the booking for one person and give me the reference number', 'how about for 2 nights', 'can you make a reservation for 6 people for 3 nights starting on wednesday']"
u-2,"['i am traveling to cambridge and looking forward to try local restaurants', 'the centre please', 'actually i just need the address of the hotel', 'can you confirm addenbrookes has a medical decisions unit', 'i will do so and you too', 'please help me book a taxi', 'what is the most eastern located 4 star hotel', 'could you provide me with the address and postcode', 'the north please and cheap', 'i prefer the guesthouse please i d like a reservation for 6 people 2 nights we ll be arriving on tuesday']"
u-3,"['yes i also need a taxi from the restaurant to the hotel can you help me with that', 'i would like to find a expensive one please', 'can you also find finches bed and breakfast', 'does it have a 4 star rating i would like a place with four stars', 'perfect i ll need 2 tickets', 'that s all i need thank you so much', 'thank you goodbye', 'just to commute between the two places', 'i m looking for a train from stansted airport to cambridge and should arrive by 0930 the same day as the restaurant booking', 'anything in the centre would be fine whatever you recommend']"
u-4,"['yeah that would be great thanks', 'can i have the postcode entrance fee and address i also need a hotel within a moderate price range', 'yes i am ready for a reservation', 'i also need information on arbury lodge guesthouse', 'oh yeah five people please', 'yes i d like a taxi to take me to pipasha restaurant and then to cambridge punter i d like to arrive at pipasha restaurant by 1700', 'excellent thanks a lot i think that s everything i need', 'yes the centre is where i will be staying', 'sure can you try just 2 nights please', 'thanks so much can you help me find a train']"
u-5,"['i also need a taxi from the restaurant to the hotel please i need to leave the restaurant by 1900', 'i want italian so let s go with pizza hut cherry hinton', 'i d like to leave milton country park by 1015 and go to pizza hut cherry hinton', 'i do nt have a preference', 'yes i would like to stay in a guesthouse that is moderately priced', 'i would also like more info about pizza hut in the city center', 'i need to find an italian restaurant please', 'gosh i m so sorry i do nt want the reservation for the evening i want thai food for lunch do you have a table for 2 at 1230 on tuesday', 'i m not really concerned with price which would you suggest', 'i am looking for a restaurant in the centre of town']"
u-6,"['that s alright thanks so much i ve got nothing more today bye', 'yes i ll need a place to sleep off all that food do you have anything that s cheap but also has a 4star rating', 'what is their contact number', 'will i be able to find it with just the street name is that the full address sidney street please provide me with the full address', 'could you recommend me a hotel that is cheap', 'can you make me a booking for 6 of us starting on sunday for 5 nights', 'that sounds good i also need to book a taxi to go from the vue to the restaurant by my booked time', 'can you recommend one and give me their post code', 'thanks so much you took care of everything i needed thanks goodbye', 'i really need a guesthouse can you find one for me please']"
u-7,"['can you find a hotel for me called alexander bed and breakfast', 'nope that s all i need thank you', 'a hotel please for 4 people and 4 nights', 'no that should be all i better get going', 'how about a college instead', 'sweet could you give me their phone and address', 'yes i m also looking for a place to stay i ll need it to be moderately priced in the same area as the attraction and free parking please', 'thank you i m also looking for a moderate price range restaurant that serves turkish food', 'ok that sounds interesting can you give me the street address', 'please help me i ve just been robbed and i need to report this to the police']"
u-8,"['no could we try a museum in the centre of town', 'i am looking for places to go in town the attraction should be in the centre and should be in the type of theatre', 'okay do you have anything matching that description in the moderate price range instead', 'yes italian food please', 'i do nt have a preference can you recommend me one', 'i am looking for a place to stay', 'i am also looking for a place to go in the centre', 'how about a college', 'could you check one that s in the moderate range instead', 'i m looking for a hotel in the expensive price range internet is not necessary']"
u-9,"['i want to book a taxi to commute between the two places', 'okay can i book 4 nights at the express please', 'yes i ll need 4 tickets please', 'can you tell me the duration of travel time please', 'thank you i am also looking for a hotel on the north side', 'could you please provide the phone number postcode and entrance fee for each', 'thank you you have answered all my questions have a nice day', 'yes that would be fine with me', 'nothern european food please', 'i am looking for a 4 star guesthouse with free parking in the expensive range']"
