,utterenaces
u-0,"['thank you i also need a swimming pool in the north area of cambridge', 'i am looking for information in cambridge', 'i am looking for information in cambridge a a place to dine', 'where is the hospital in cambridge', 'can you give me the address to the hospital in cambridge', 'yes can i have more information about the cambridge museum of tech what is their address', 'i need to find a british restaurant in west cambridge', 'i am planning a trip in cambridge looking for a place to dine', 'i am looking for information in cambridge', 'could you help me find the cambridge belfry']"
u-1,"['yes how long is the travel time', 'that works can i have the travel time for that please', 'can you tell me the duration of travel time please', 'not right now what s the travel time on that ride', 'can you also tell me the travel time', 'could you tell me the travel time please first', 'can you tell me the arrival time of that train', 'yes can i have the train id and travel time please', 'it ll only be me can i get the price train id and departure time as well', 'can i get the departure and travel time of the train arriving closest to 1530']"
u-2,"['the train will be leaving cambridge and going to london liverpool street', 'i want to leave from london liverpool street', 'i would also like a train departing from london liverpool street and arriving in cambridge at 0900 on the same day', 'i need a train from london liverpool street station on wednesday', 'i need to depart from london liverpool street after 1515 can you tell me how long the travel time is too', 'i do need a train from london liverpool street on tuesday please', 'i ll will be leaving from london liverpool street', 'find me train times from cambridge to london liverpool street', 'i will be leaving cambridge and going to london i d like to use the liverpool street station', 'i d like a train to london liverpool street that leaves after 1000']"
u-3,"['okay i m looking for a train that departs from cambridge on tuesday and arrives by 0800 in london kings cross', 'i should have told you that already i apologize i need to take a train from cambridge to london kings cross on thursday leaving after 1500', 'i need to leave on sunday and my destination is london kings cross', 'could you check one more time i m departing cambridge and going to london kings cross i should arrive by 1030 on sunday', 'first of all i need a train to get there from london kings cross can you help find one', 'i d like to depart from london kings cross going to cambridge after 0930', 'i am looking for a train departing from london kings cross', 'i need a train to leave from london s cross', 'i am looking for a train departing from london kings cross', 'i need to take a train from cambridge to london kings cross']"
u-4,"['i m going to be leaving birmingham new street and need to arrive by 1745', 'i ve like to go to birmingham new street', 'i am leaving from birmingham new street any time after 1315', 'i am looking for a train the train should leave on monday and should go to birmingham new street', 'leaving cambridge going to birmingham new street on monday any time after 1515', 'i m planning a trip to cambridge and need info on trains i am coming from birmingham new st', 'i am going to birmingham new street', 'i need to leave after 1130 and go to birmingham new street', 'i need transportation specifically a train from birmingham new street i need one that gets to my destination by 1700', 'i need to book a train from birmingham new street to cambridge']"
u-5,"['i would like to book one starting friday', 'i am planning to travel on thursday', 'i would like to leave on wednesday', 'i would like to leave in saturday', 'i want to do some boating today', 'i will depart on wednesday', 'i want to leave on sunday', 'it needs to be on tuesday', 'i need to go to kings lynn on thursday', 'i will be going to ely on thursday']"
u-6,"['i want to go to castle galleries', 'i d like to leave milton country park by 1015 and go to pizza hut cherry hinton', 'i would like to go to ely please', 'i want to go to the riverboat georgina please', 'i m leaving on tuesday and from norwich', 'i ll be heading to huntingdon marriott hotel', 'i do not have a date at this time', 'i would like to go to norwich', 'does that depart from broxbourne station', 'i m going to the slug and lettuce']"
u-7,"['my arrival time will be 1700', 'i want to arrive there by 0700', 'i m departing from norwich and want to arrive by 1300', 'i d like to arrive by 1545', 'what is the arrival time', 'i d like one that arrives by 1300 on wednesday', 'i do nt mind departure time so much but i would like to arrive as close to 1400 as possible so whatever departure time that is', 'i need to travel on wednesday and get there by 1715', 'i would like to arrive by 2015', 'do you have something that leaves later but still makes the arrival time']"
u-8,"['i need to leave after 1930', 'i want to to leave the hotel by 1030', 'i want to leave the park by 1015', 'i d like to leave the hotel by 315 please', 'no those wo nt work at all as i said i need to leave after 0830', 'i need to leave after 1915', 'i would prefer to leave after 1345 please', 'i would like yo leave after 630', 'i need to get to saint barnabas press gallery please but i ca nt leave until after 1100', 'i m not picky on when i want to arrive i just want to leave after 1245']"
u-9,"['i m at kettle s yard and need a taxi to pick me up by 1930', 'hi i d like to book a taxi from kettle s yard to old schools', 'no he taxi should depart from hotel du vin and bistro', 'just a taxi leaving the theatre by 1045 and going to the hotel', 'can i get a shuttle back to the airport', 'hi i would like to get a taxi from whale of a time i ll need to leave after 2245', 'that sounds great can i also have a taxi leaving at 1145 from the museum to the hotel', 'i need a taxi please i need to arrive no later than 1000 and i m leaving from cambridge lodge restaurant', 'i need to book a taxi to come to da vinci pizzeria by 0145', 'yes i would like a taxi from the hotel to the museum please']"
